Date,Session Type,Match Opponent,Player Name,Result,Position Category,GP,GS,GA,SV,SV%,W,L,T,SHO,Player Participation Time (min),Total Touches (#),Touches per min (#/min),Releases (#),Releases per min (#/min),RV Zone 1 [0-10( m/s)],RV Zone 2 [10-15( m/s)],RV Zone 3 [> 15( m/s)],Total Possessions (#),One-Touch (#),Short Possessions (#),Avg Time on Ball - Short (sec),Long possessions (#),Avg Time on Ball - Long (sec),Total Time on Ball (sec),Top Speed (m/s),Distance Covered (m),Work Rate (m/min),HID Covered (m) Zone 1 [> 4(m/s)],HID per min (m/min),SD Covered (m) [> 5.5(m/s)],SD per min (m/min),Sprint Count (#),Speed Zone 1 - DC (m),Speed Zone 2 - DC (m),Speed Zone 3 - DC (m),Speed Zone 4 - DC (m),Speed Zone 5 - DC (m),Speed Zone 6 - DC (m),Speed Zone 7 - DC (m),Speed Change Actions (#) [> 2.6(m/s^2)],Speed Change Actions per min (#/min),Horizontal Acc Zone 1 (#),Horizontal Acc Zone 2 (#),Horizontal Acc Zone 3 (#),Horizontal Acc Zone 4 (#),Horizontal Acc Zone 5 (#),Horizontal Acc Zone 6 (#),Horizontal Decl Zone 1 (#),Horizontal Decl Zone 2 (#),Horizontal Decl Zone 3 (#),Horizontal Decl Zone 4 (#),Horizontal Decl Zone 5 (#),Horizontal Decl Zone 6 (#),Horizontal Acc Zone 1 - DC (m),Horizontal Acc Zone 2 - DC (m),Horizontal Acc Zone 3 - DC (m),Horizontal Acc Zone 4 - DC (m),Horizontal Acc Zone 5 - DC (m),Horizontal Acc Zone 6 - DC (m),Horizontal Decl Zone 1 - DC (m) ,Horizontal Decl Zone 2 - DC (m),Horizontal Decl Zone 3 - DC (m),Horizontal Decl Zone 4 - DC (m),Horizontal Decl Zone 5 - DC (m),Horizontal Decl Zone 6 - DC (m),Receives (#),Release Velocity Min (m/s),Release Velocity Max (m/s),Release Velocity Avg (m/s)
9/3/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,28,14,0.49,7,0.24,2,4,1,7,3,4,1.47,0,,6,4.92,540,18.82,3,0.11,0,0,0,415,75,45,2,3,0,0,1,0,576,50,5,2,0,1,622,15,8,0,0,1,209,39,5,2,1,1,262,15,3,1,1,1,4,,15.2,10.6
9/4/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,128,67,0.52,35,0.27,,,,,,,,,,,4.1,2326,18.14,3,0.02,0,0,0,1470,199,528,127,3,0,0,3,0,2591,165,78,34,10,3,2736,118,51,14,1,2,783,182,90,24,6,2,1045,138,43,11,2,1,,,15.6,
9/4/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,93,70,0.75,45,0.48,28,16,1,45,39,2,1.54,4,4.17,20,4.1,2278,24.36,3,0.03,0,0,0,1422,199,528,127,3,0,0,3,0,1735,164,78,34,10,3,1884,118,51,14,1,2,760,181,90,24,6,2,1021,138,43,11,2,1,6,1.8,15.6,9.4
9/4/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,13,34,2.47,24,1.74,15,9,0,24,21,0,,3,3.86,12,4.1,403,29.29,1,0.06,0,0,0,277,48,75,2,1,0,0,1,0.1,226,38,24,4,0,1,260,32,10,4,0,0,116,49,21,3,0,1,167,34,8,4,0,0,3,,12,9.1
9/4/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,21,23,1.09,17,0.8,12,4,1,17,14,2,1.54,1,5.11,8,3.61,650,30.73,0,0,0,0,0,402,75,128,44,0,0,0,1,0,353,41,31,9,5,1,391,41,20,4,0,0,197,56,37,7,3,0,276,52,18,2,0,0,3,1.8,15.6,9
9/4/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,43,7,0.16,1,0.02,1,0,0,1,1,0,,0,,0,3.79,571,13.11,0,0,0,0,0,489,47,30,6,0,0,0,1,0,876,53,19,17,3,1,922,30,17,5,1,2,192,47,22,10,2,0,245,34,15,4,2,1,0,,8.6,8.6
9/17/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,159,75,0.47,8,0.05,,,,,,,,,,,4.15,2470,15.52,4,0.02,0,0,0,1674,222,461,109,4,0,0,2,0,3696,188,43,14,5,2,3849,117,22,6,0,0,980,155,45,13,5,1,1141,103,22,5,0,0,,,13.5,
9/17/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,98,116,1.18,16,0.16,5,10,1,16,10,3,1.26,3,2.98,13,4.15,2350,23.96,4,0.04,0,0,0,1554,222,461,109,4,0,0,2,0,2021,183,43,14,5,2,2173,115,22,6,0,0,925,153,45,13,5,1,1078,103,22,5,0,0,6,2.7,15.3,10.7
9/17/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,19,68,3.48,9,0.46,4,5,0,9,4,3,1.26,2,2.74,9,3.09,462,23.62,0,0,0,0,0,358,60,43,1,0,0,0,0,0,364,48,14,10,0,0,410,33,9,3,0,0,159,42,16,6,0,0,197,32,8,2,0,0,5,2.7,13.5,9.8
9/17/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,29,32,1.09,7,0.24,1,5,1,7,6,0,,1,3.46,3,3.51,777,26.54,0,0,0,0,0,590,82,78,27,0,0,0,0,0,530,71,24,3,3,0,590,46,11,1,0,0,274,69,21,4,1,0,357,41,8,1,0,0,1,4,15.3,11.8
